Tennis ball						
Degrees	Time taken form start to finish					
		2nd Attempt	3rd Attempt	4th Attempt	5th Attempt	Mean
10	1.01	0.98	0.99	0.99	1.03	1.01
20	0.94	0.98	0.93	0.96	0.94	0.94
30	0.74	0.74	0.75	0.75	0.74	0.74
40	0.64	0.98	0.68	0.61	0.64	0.64
50	0.4	0.32	0.45	0.548	0.42	0.4
60	0.21	0.8	0.23	0.32	0.21	0.21
70	0.14	0.28	0.18	0.09	0.23	0.14
80	0.09	0.01	0.8	0.4	0.1	0.09
90	0.03	0	0.4	0.07	0.2	0.03
						
Tennis ball						
Degrees	Force required to hold it					
	1st Attempt	2nd Attempt	3rd Attempt	4th Attempt	5th Attempt	Mean
10	0.18	0.18	0.17	0.16	0.16	0.18
20	0.26	0.3	0.12	0.45	0.26	0.26
30	0.4	0.12	0.35	0.4	0.312	0.4
40	0.49	0.49	0.45	0.5	0.5	0.49
50	0.55	0.6	0.3	0.56	0.55	0.55
60	0.61	0.67	0.61	0.66	0.66	0.61
70	0.62	0.62	0.62	0.61	0.61	0.62
80	0.64	0.64	0.64	0.61	0.61	0.64
90	0.65	0.65	0.65	0.65	0.65	0.65
						
						
						
Golf Ball						
Degrees	Time taken form start to finish					
	1st Attempt	2nd Attempt	3rd Attempt	4th Attempt	5th Attempt	Mean
10	0.83	0.87	0.9	0.83	0.78	0.83
20	0.74	0.74	0.8	0.3	0.74	0.74
30	0.68	0.5	0.7	0.68	0.68	0.68
40	0.4	0.4	0.3	0.4	0.4	0.4
50	0.32	0.4	0.32	0.31	0.32	0.32
60	0.16	0.16	0.15	0.26	0.16	0.16
70	0.08	0.08	0.09	0.07	0.08	0.08
80	0.03	0.03	0.04	0.02	0.03	0.03
90	0.01	0.01	0.09	0.01	0.01	0.01
						
						
Golf Ball						
Degrees	Force required to hold it					
	1st Attempt	2nd Attempt	3rd Attempt	4th Attempt	5th Attempt	Mean
10	0.21	0.21	0.22	0.21	0.21	0.21
20	0.3	0.3	0.29	0.3	0.3	0.3
30	0.35	0.35	0.36	0.35	0.34	0.35
40	0.43	0.43	0.43	0.43	0.43	0.43
50	0.5	0.5	0.5	0.49	0.5	0.5
60	0.52	0.48	0.52	0.52	0.52	0.52
70	0.54	0.54	0.54	0.54	0.54	0.54
80	0.55	0.55	0.55	0.55	0.55	0.55
90	0.57	0.57	0.57	0.56	0.57	0.57
						


